#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
28.3452,250,4226.0615,0.0
33.3873,250,4237.6708,1.0
28.9473,250,4249.245,0.0
31.5214,250,4260.8556,0.0
28.5387,250,4272.4094,0.0
30.4562,250,4283.9453,0.0
36.0482,250,4295.7217,2.0
30.9042,250,4307.1111,0.0
36.0658,250,4318.5634,1.0
33.4558,250,4330.0226,0.0
30.5067,250,4341.6388,1.0
30.9087,250,4350.6241,0.0
28.7595,250,4362.1162,0.0
32.2953,250,4373.5202,0.0
32.4236,250,4385.2507,1.0
37.1817,250,4396.7455,3.0
37.7203,250,4408.2137,2.0
32.3176,250,4419.5644,0.0
33.3622,250,4430.9916,0.0
31.6385,250,4442.3547,0.0
31.3771,250,4453.7944,0.0
34.6873,250,4465.2294,0.0
34.1777,250,4476.7917,0.0
36.5734,250,4488.2713,1.0
33.7733,250,4499.7714,1.0
34.526,250,4512.7048,1.0
34.2471,250,4524.1339,1.0
29.9964,250,4536.0255,0.0
29.6578,250,4547.6249,0.0
33.8394,250,4559.0841,1.0
32.9898,250,4570.502,1.0
35.0864,250,4582.0767,1.0
36.4524,250,4591.3079,1.0
28.7913,250,4602.7713,0.0
31.0704,250,4614.2368,0.0
34.2199,250,4625.7347,1.0
33.1019,250,4637.3406,1.0
31.5095,250,4648.8506,0.0
28.8846,250,4660.38,0.0
30.414,250,4671.8324,0.0
32.23,250,4683.4458,0.0
34.7531,250,4694.876,1.0
35.0713,250,4706.4544,1.0
31.6755,250,4718.2049,0.0
35.1817,250,4729.7627,1.0
31.6775,250,4741.6651,0.0
31.3963,250,4753.1939,1.0
35.9043,250,4764.6867,1.0
32.0977,250,4776.4558,1.0
29.5755,250,4788.4239,0.0
32.1221,250,4800.1886,1.0
32.0962,250,4811.8401,0.0
34.3059,250,4824.4982,0.0
31.9753,250,4833.683,0.0
34.4409,250,4845.2561,1.0
34.425,250,4856.7308,1.0
30.6194,250,4868.5028,0.0
29.5134,250,4880.0293,0.0
27.5387,250,4891.5085,0.0
35.983,250,4903.1365,1.0
32.8381,250,4915.0137,1.0
30.1127,250,4926.9206,0.0
32.4696,250,4938.5079,1.0
